"site_ID","Camera","Taxon","Size_class","spsize","MaxN","uniqueCam"
"hale_kaku","shallow2","Abudefduf abdominalis","10_19","Abudefduf abdominalis_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Abudefduf abdominalis","5_9","Abudefduf abdominalis_5_9",20,"hale_kaku_shallow2"
"hale_kaku","shallow2","Abudefduf sordidus","10_19","Abudefduf sordidus_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Abudefduf sordidus","20_29","Abudefduf sordidus_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Abudefduf vaigiensis","10_19","Abudefduf vaigiensis_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Abudefduf vaigiensis","5_9","Abudefduf vaigiensis_5_9",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus blochii","10_19","Acanthurus blochii_10_19",6,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus nigroris","10_19","Acanthurus nigroris_10_19",15,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus nigroris","5_9","Acanthurus nigroris_5_9",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus triostegus","10_19","Acanthurus triostegus_10_19",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus triostegus","5_9","Acanthurus triostegus_5_9",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus xanthopterus","10_19","Acanthurus xanthopterus_10_19",14,"hale_kaku_shallow2"
"hale_kaku","shallow2","Acanthurus xanthopterus","20_29","Acanthurus xanthopterus_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Caranx melampygus","30_39","Caranx melampygus_30_39",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Cephalopholis argus","20_29","Cephalopholis argus_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Cephalopholis argus","50_59","Cephalopholis argus_50_59",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chaetodon auriga","10_19","Chaetodon auriga_10_19",3,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chaetodon ephippium","10_19","Chaetodon ephippium_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chaetodon lineolatus","10_19","Chaetodon lineolatus_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chaetodon lunula","10_19","Chaetodon lunula_10_19",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chaetodon lunulatus","10_19","Chaetodon lunulatus_10_19",3,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chlorurus perspicillatus","10_19","Chlorurus perspicillatus_10_19",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chlorurus perspicillatus","20_29","Chlorurus perspicillatus_20_29",3,"hale_kaku_shallow2"
"hale_kaku","shallow2","Chlorurus spilurus","10_19","Chlorurus spilurus_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Ctenochaetus strigosus","10_19","Ctenochaetus strigosus_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Ctenochaetus strigosus","20_29","Ctenochaetus strigosus_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Diodon hystrix","20_29","Diodon hystrix_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Gomphosus varius","10_19","Gomphosus varius_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Gomphosus varius","20_29","Gomphosus varius_20_29",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Labroides phthirophagus","5_9","Labroides phthirophagus_5_9",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Lutjanus fulvus","20_29","Lutjanus fulvus_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Mulloidichthys flavolineatus","10_19","Mulloidichthys flavolineatus_10_19",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Mulloidichthys vanicolensis","10_19","Mulloidichthys vanicolensis_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Scarus psittacus","10_19","Scarus psittacus_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Stethojulis balteata","10_19","Stethojulis balteata_10_19",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Thalassoma duperrey","10_19","Thalassoma duperrey_10_19",2,"hale_kaku_shallow2"
"hale_kaku","shallow2","Thalassoma duperrey","20_29","Thalassoma duperrey_20_29",1,"hale_kaku_shallow2"
"hale_kaku","shallow2","Thalassoma duperrey","5_9","Thalassoma duperrey_5_9",1,"hale_kaku_shallow2"
